 UPDATE  The latest version of `serve` is 14.2.6
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 200 in 86 ms
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:06:44 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 Returned 200 in 32 ms
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:06:45 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/chunks/app/page-ccc193d1184f5781.js
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 304 in 7 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 304 in 12 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 304 in 11 ms
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:10:38 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:11:04 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:11:05 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:11:05 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:11:05 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:11:05 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:12:12 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 304 in 5 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 304 in 8 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 304 in 8 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 304 in 9 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:13:56 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 Returned 304 in 9 ms
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:14:17 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 Returned 304 in 1 ms
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:14:48 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:15:35 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:17:51 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:17:51 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:17:51 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:17:51 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:21:16 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:16 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:21:16 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:16 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 23 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 22 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 9 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 25 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 16 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:21:17 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:21:35 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:35 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:35 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 17 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 9 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 9 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:21:37 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:23:08 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:23:08 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:23:08 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:23:08 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/css/369d7908ac10a02c.css
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 7 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 10 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 7 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /_next/static/chunks/app/page-17c0c4c1e4e31dc7.js
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:23:09 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/css/5c393348f9d586ae.css
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/chunks/app/page-3939160a3aa7f137.js
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 304 in 9 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 200 in 6 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 304 in 8 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 304 in 7 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 304 in 6 ms
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:34:36 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:34:51 PM 127.0.0.1 GET /_next/static/chunks/108.f8c2feb934f099d7.js
 HTTP  8/4/2026 11:34:51 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:34:51 PM 127.0.0.1 GET /_next/static/chunks/561.3cfba3e3fbcbabab.js
 HTTP  8/4/2026 11:34:51 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 GET /wasm/vision_wasm_internal.js
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 GET /wasm/vision_wasm_internal.wasm
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 Returned 304 in 2 ms
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 GET /models/pose_landmarker_full.task
 HTTP  8/4/2026 11:34:52 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:39:04 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:39:04 PM 127.0.0.1 Returned 200 in 5 ms
 HTTP  8/4/2026 11:39:04 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:39:04 PM 127.0.0.1 Returned 200 in 2 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 1 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/css/5c393348f9d586ae.css
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/app/page-87df11b03fd4d43a.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/css/5c393348f9d586ae.css
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 3 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/webpack-b775db68bc069cf8.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/860782d6-9b0034ff619fd41c.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/267-1d8b8dc4ad0cf6f6.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 14 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/main-app-c2ed5e882dd48f8e.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /_next/static/chunks/app/page-87df11b03fd4d43a.js
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 14 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 14 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 19 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 19 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 8 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 12 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 15 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 11 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 4 ms
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 GET /favicon.ico
 HTTP  8/4/2026 11:39:05 PM 127.0.0.1 Returned 200 in 3 ms
